writer_name,book_name,count(*)
Rabindranath Tagore,দুই বোন,2
Bankim Chandra,কপালকুণ্ডলা,4
Bankim Chandra,মৃণালিনী,4
Rabindranath Tagore,চতুরঙ্গ,4
Sarat Chandra Chattopadhyay,চন্দ্রনাথ,4
Sarat Chandra Chattopadhyay,নববিধান,4
Bankim Chandra,আনন্দমঠ,5
Bankim Chandra,ইন্দিরা,5
Bankim Chandra,বিষবৃক্ষ,5
Bankim Chandra,রজনী,5
Rabindranath Tagore,চার অধ্যায়,5
Sunil Gangopadhyay,অচেনা মানুষ,5
Humayun Ahmed,নন্দিত নরকে (১৯৭০),6
Humayun Ahmed,বাঘবন্দি মিসির আলি,6
Humayun Ahmed,বিপদ – মিসির আলি,6
Bankim Chandra,চন্দ্রশেখর,7
Humayun Ahmed,হিমু এবং হার্ভার্ড Ph.D. বল্টুভাই (২০১১),7
Humayun Ahmed,হিমুর নীল জোছনা (২০১০),7
Sunil Gangopadhyay,খালি জাহাজের রহস্য (১৯৮১),7
Bankim Chandra,দুর্গেশনন্দিনী,8
Bankim Chandra,দেবী চৌধুরাণী,8
Bankim Chandra,রাধারাণী,8
Humayun Ahmed,অনীশ – মিসির আলি,8
Humayun Ahmed,অন্যদিন,8
Humayun Ahmed,আমিই মিসির আলি,8
Humayun Ahmed,আশাবরী (১৯৯১),8
Humayun Ahmed,উড়ালপঙ্খী (২০০২),8
Humayun Ahmed,ময়ূরাক্ষী (১৯৯০),8
Humayun Ahmed,শঙ্খনীল কারাগার (১৯৭৩),8
Humayun Ahmed,হরতন ইশকাপন – মিসির আলি,8
Humayun Ahmed,হিমু রিমান্ডে (২০০৮),8
Rabindranath Tagore,বউ-ঠাকুরানীর হাট,8
Sunil Gangopadhyay,কাকাবাবু ও বজ্র লামা (১৯৯০),8
Sunil Gangopadhyay,কাকাবাবু হেরে গেলেন (১৯৯২),8
Sunil Gangopadhyay,প্রকাশ্য দিবালোকে,8
Sunil Gangopadhyay,বিজয়নগরের হিরে (১৯৮৯),8
Sunil Gangopadhyay,মনে মনে খেলা,8
Sunil Gangopadhyay,সন্তু ও এক টুকরো চাঁদ (১৯৯৩),8
Bankim Chandra,কৃষ্ণকান্তের উইল,9
Humayun Ahmed,অনিল বাগচির একদিন,9
Humayun Ahmed,আজ চিত্রার বিয়ে,9
Humayun Ahmed,আমাদের সাদা বাড়ি (১৯৯৬),9
Humayun Ahmed,আসমানীরা তিন বোন (২০০২),9
Humayun Ahmed,ইস্টিশন (১৯৯৯),9
Humayun Ahmed,চলে যায় বসন্তের দিন (২০০২),9
Humayun Ahmed,তোমাদের এই নগরে (২০০০),9
Sarat Chandra Chattopadhyay,গৃহদাহ,9
Sarat Chandra Chattopadhyay,নিষ্কৃতি,9
Sunil Gangopadhyay,উল্কা-রহস্য (১৯৯০),9
Sunil Gangopadhyay,কলকাতার জঙ্গলে (১৯৮৬),9
Sunil Gangopadhyay,"সন্তু কোথায়, কাকাবাবু কোথায় (১৯৯৬)",9
Bankim Chandra,যুগলাঙ্গুরীয়,10
Rabindranath Tagore,মালঞ্চ,10
Sarat Chandra Chattopadhyay,অরক্ষণীয়া,10
Sarat Chandra Chattopadhyay,বড়দিদি,10
Sunil Gangopadhyay,কাকাবাবুর প্রথম অভিযান (১৯৯৭),10
Sunil Gangopadhyay,ভয়ংকর সুন্দর (কাকাবাবু) (১৯৭২),10
Sunil Gangopadhyay,সবুজ দ্বীপের রাজা (১৯৭৮),10
Bankim Chandra,সীতারাম,11
Humayun Ahmed,দরজার ওপাশে (১৯৯২),11
Humayun Ahmed,পারাপার (১৯৯৩),11
Humayun Ahmed,হিমুর দ্বিতীয় প্রহর (১৯৯৭),11
Sunil Gangopadhyay,পায়ের তলার মাটি,11
Humayun Ahmed,অন্য ভুবন – মিসির আলি,12
Sarat Chandra Chattopadhyay,পরিণীতা,12
Sunil Gangopadhyay,অরণ্যের দিনরাত্রি,12
Humayun Ahmed,অচিনপুর,13
Rabindranath Tagore,যোগাযোগ,13
Sarat Chandra Chattopadhyay,দত্তা,13
Sarat Chandra Chattopadhyay,বৈকুন্ঠের উইল,13
Sunil Gangopadhyay,মনের মানুষ,13
Humayun Ahmed,অপরাহ্ন,14
Humayun Ahmed,মেঘের ছায়া (১৯৯৩),14
Humayun Ahmed,হিমু (১৯৯৩),14
Sarat Chandra Chattopadhyay,পন্ডিতমশাই,15
Humayun Ahmed,পুফি – মিসির আলি,16
Sarat Chandra Chattopadhyay,দেবদাস,16
Sunil Gangopadhyay,আগুন পাখির রহস্য (১৯৯৪),16
Rabindranath Tagore, শেষের কবিতা,17
Humayun Ahmed,অন্ধকারের গান (১৯৯৭),18
Humayun Ahmed,আকাশ জোড়া মেঘ,18
Humayun Ahmed,নিষাদ – মিসির আলি,18
Rabindranath Tagore,ঘরে বাইরে,18
Humayun Ahmed,প্রিয়তমেষু (১৯৮৮),19
Sarat Chandra Chattopadhyay,পল্লী-সমাজ,19
Sunil Gangopadhyay,এক জীবনে,21
Sunil Gangopadhyay,রানু ও ভানু,21
Humayun Ahmed,অপেক্ষা,22
Sarat Chandra Chattopadhyay,চরিত্রহীন,23
Humayun Ahmed,দেবী – মিসির আলি,24
Humayun Ahmed,নিশীথিনী – মিসির আলি,24
Sunil Gangopadhyay,পাহাড় চূড়ায় আতঙ্ক (১৯৮১),25
Humayun Ahmed,মেঘ বলেছে যাব যাব,26
Humayun Ahmed,বহুব্রীহি (১৯৯০),28
Sarat Chandra Chattopadhyay,দেনা-পাওনা,28
Sarat Chandra Chattopadhyay,শেষ প্রশ্ন,28
Sarat Chandra Chattopadhyay,পথের দাবী,31
Humayun Ahmed,কবি (১৯৯৬)- হুমায়ূন আহমেদ,32
Humayun Ahmed,কোথাও কেউ নেই,45
Humayun Ahmed,এইসব দিনরাত্রি (১৯৯০),48
Rabindranath Tagore,চোখের বালি,54
Bankim Chandra,রাজসিংহ,65
Rabindranath Tagore,গোরা,77
Rabindranath Tagore,নৌকাডুবি,151
